text,lemma,pos,tag,dep,is_stop
Pakistan,"('Pakistan',)",PROPN,NNP,nsubj,False
got,"('get',)",VERB,VBD,ROOT,False
independence,"('independence',)",NOUN,NN,dobj,False
in,"('in',)",ADP,IN,prep,True
1947,"('1947',)",NUM,CD,pobj,False
.,"('.',)",PUNCT,.,punct,False
Karachi,"('Karachi',)",PROPN,NNP,nsubj,False
",","(',',)",PUNCT,",",punct,False
Lahore,"('Lahore',)",PROPN,NNP,conj,False
and,"('and',)",CCONJ,CC,cc,True
Islamabad,"('Islamabad',)",PROPN,NNP,conj,False
are,"('be',)",AUX,VBP,ROOT,True
few,"('few',)",ADJ,JJ,attr,True
of,"('of',)",ADP,IN,prep,True
the,"('the',)",DET,DT,det,True
major,"('major',)",ADJ,JJ,amod,False
cities,"('city',)",NOUN,NNS,pobj,False
Pakistan,"('Pakistan',)",PROPN,NNP,appos,False
.,"('.',)",PUNCT,.,punct,False
